foto istantanea;snapshot;pikakuva
fondina;holster;pistoolin kotelo
tosse;cough;yskä
calza;sock;sukka
carrarmato;tank (milit.);panssari-vaunu
morbillo;measles;tuhkarokko
talpa;mole;myyrä
falcone;falcon;metsästyshaukka
zanzara;mosquito;hyttynen
bulldozer;bulldozer;puskutraktori
tramandare;to hand down;välittää
paperella di gomma;rubber ducky;kumiankka
falce;scythe;viikate
calice;chalice;malja
marmitta;silencer,muffler;pakoputki
manubrio;handlebar;ohjaustanko
banana;banana;banaani
casco;helmet;kypärä
serpente a sonagli;rattlesnake;kalkkarokäärme
ape;bee;mehiläinen
formica;ant;muurahainen
albero di natale;christmas tree;joulukuusi
profilo;profile;profiili
diamante;diamond (stone);timantti
bilancia;scale (tool);vaaka
annaffiatoio;watering can;kastelukannu
calendario a muro;wall calendar;seinäkalenteri
decapitato;beheaded;mestattu
nocche;knuckles;rystyset
coda;tail;häntä
idrante;hydrant;paloposti
ciglia;eyelashes;ripset
lettera;letter;kirje tai kirjain
mancino;lefty;vasenkätinen
asciugamano;towel;käsipyyhe
furgone;van;pakettiauto
marziano;martian;marsilainen
torta nuziale;wedding cake;hääkakku
onda;wave;aalto
buco nero;black hole;musta-aukko
varicella;chicken pox,varicella;vesirokko
thermos;thermos;thermos
tonsille;tonsils;kitarisat
fusibile;fuse;sulake
tappeto volante;magic carpet;lentävä matto
fossetta;dimple;hymykuoppa
ceppo d'albero;tree stump;puunkanto
letti a castello;bunk beds;parvisänky
farfalla;butterfly;perhonen
pizza;pizza;pizza
uva;grapes;viinirypäle
coperta;blanket;peitto
giraffa;giraffe;kirahvi
tromba;trumpet;trumpetti
lacrime di coccodrillo;crocodile tears;krokotiilin kyyneleet
lupo ululante;howling wolf;ulvova susi
macchina del caffé;coffee machine;kahvinkeitin
piatto;plate;lautanen
rotula;kneecap;polvilumpio
pane;bread;leipä
vernice spray;spray paint;spray-maali
sirena;mermaid or siren;sireeni tai seireeni
gong;gong;gong
verdure;vegetables;vihannekset
spazio ignoto;unknown space;tuntematon avaruus
freno a mano;hand brake;käsijarru
cammello;camel;kameli
secchiello;bucket;leluämpäri

zoccolo;clog,sabot;puukenkä
prosciutto;ham;kinkku
volpe;fox;kettu
betoniera;concrete mixer;betonimylly
torcia;torch;taskulamppu
bistecca;steak;pihvi
manovella;crank;veivi
pozzo;well (e.g. with water);kaivo
mosca;fly (insect);kärpänen
berretto;cap;lakki
riccio;curly or hedgehog;kihara tai siili
pianta;plant;kasvi
contanti;cash;käteinen
vassoio;tray;tarjotin
pillola;pill;pilleri
tonno;tuna fish;tonnikala
caffé espresso;espresso;espressokahvi
tumulo;tumulus,grave;hautakumpu
nota musicale;note (music);nuotti
orecchio;ear;korva
calcolatrice;calculator;laskin
cavatappi;corkscrew;korkkiruuvi
tuffo;dive;sukellus
ramoscello;twig;risu
bazooka;bazooka;bazooka
aquilone;kite;leija
tettarella;teat;tutti
fetta;slice;siivu
labbra;lips;huulet
albero;tree;puu
chef;chef;kokki
microfono;microphone;mikrofooni
equitazione;horse-riding;ratsastus
spiaggia;beach;ranta
struzzo;ostrich;strutsi
spazzola;brush (for clothes, or hair);harja
joystick;joystick;joystick
cerbottana;blowgun;hernepyssy
attore comico;comic actor;koomikko
carro;cart,wagon;karryt
barra;bar (e.g. iron bar);tanko
coccodrillo;crocodile;krokotiili
cornetto;croissant;voisarvi
fulmine;lightning,thunderbolt;salama
trofeo;trophy;voitonmerkki
